user_id,business_id
---1lKK3aKOuomHnwAkAow,uhb7nSskHRm5RFbGkGlGwQ
---1lKK3aKOuomHnwAkAow,ebVPLAeD7FZ2VzY5ryOCxw
---1lKK3aKOuomHnwAkAow,-kG0N8sBhBotMbu0KVSPaw
---1lKK3aKOuomHnwAkAow,_ucDskZqK5w1QHkoA_nlRw
---1lKK3aKOuomHnwAkAow,6c9e9qH_AdBYQnm7dyiDAQ
---1lKK3aKOuomHnwAkAow,JdXWoFcLDxE7OhC63r8zAQ
---1lKK3aKOuomHnwAkAow,vWFhRvHVIJAzIeOX4g_YcA
---1lKK3aKOuomHnwAkAow,1jpYP-JNOEYCMIzP4OlGuQ
---1lKK3aKOuomHnwAkAow,XlZ2Row0pszDilc5WmXiZQ
---1lKK3aKOuomHnwAkAow,7VWtmHsd4HSNDkF5f5xnng
---1lKK3aKOuomHnwAkAow,QjZFYd5hme7EHegpuJngMQ
---1lKK3aKOuomHnwAkAow,rFRNjwr6Z3r4agQG-LtluA
---1lKK3aKOuomHnwAkAow,n_-CwlqV8fzEIUPky8Ibtw
---1lKK3aKOuomHnwAkAow,ZeLSZRm_l0Aw7idB3_fKbA
---1lKK3aKOuomHnwAkAow,I0f12eU-xFn6Kd_4H57jrQ
---1lKK3aKOuomHnwAkAow,ydcNlRMKs93AQpOhVkSrGQ
---1lKK3aKOuomHnwAkAow,pKk7jCFIm96qDdk0laVT2w
---1lKK3aKOuomHnwAkAow,3vxIqhm2jCVjkUWtmDvTsw
---1lKK3aKOuomHnwAkAow,VUtazCTIc0aoOrQprP_s-Q
---1lKK3aKOuomHnwAkAow,2g_auUWw7c3c2CUTgVqI8Q
---1lKK3aKOuomHnwAkAow,w4a6TuFWArSc29dB51rPNA
---1lKK3aKOuomHnwAkAow,H6skMpg_g-sOrfTQf_Q5LQ
---1lKK3aKOuomHnwAkAow,adbcOhZ54xwjkilzh0FrZg
---1lKK3aKOuomHnwAkAow,Qb4sJ4ssSX1clY2wEAOmsA
---1lKK3aKOuomHnwAkAow,bCa0CY4F74N5lCEVOquKkg
---1lKK3aKOuomHnwAkAow,-zbcosKSMGDhaZYN-CrcVA
---1lKK3aKOuomHnwAkAow,6UqOXFic_vu2JLGuu8YD6A
---1lKK3aKOuomHnwAkAow,IP-q2lMq654sboZLwzYaig
---1lKK3aKOuomHnwAkAow,50tjBMTlIbFBxjTRXAVZHQ
---1lKK3aKOuomHnwAkAow,Eg_M8eeu9SDEdbP7iUmVbQ
---1lKK3aKOuomHnwAkAow,JVK8szNDoy9MNiYSz_MiAA
